prompt,label
Are rates of severe COVID-19 hospitalization higher for patients living in densely populated cities versus rural counties?,allowed
What is the difference in median total cholesterol drops for men versus women after six months on statins?,allowed
Compare the frequency of emergency psychiatric holds for separated adults versus single adults.,allowed
Is the average pediatric ER wait time different for children from Atlanta compared to those from Savannah?,allowed
Do transgender women have a different average incidence rate of DVT while on hormone therapy compared to cisgender women on oral contraceptives?,allowed
Compare the rate of successful physical therapy completion for total knee arthroplasty between men and women.Compare the median length of stay for Hispanic patients versus non-Hispanic patients.,allowed
Is the average blood pressure higher in men or women diagnosed with hypertension?,allowed
How do readmission rates differ between married and single individuals after heart surgery?,allowed
Compare the prevalence of asthma among children living in Chicago versus those in rural suburbs.,allowed
Are emergency room wait times longer for teenagers compared to seniors?,allowed
What is the difference in median cholesterol levels between Asian and White patients?,allowed
Compare the rate of cesarean sections for women under thirty to those over forty.,allowed
Do single men have a higher rate of missed appointments than married men?,allowed
Is the average body mass index different for non-binary patients compared to cisgender individuals?,allowed
Compare the incidence of Type 2 diabetes between Native American and White populations in our system.,allowed
How does the average recovery time for knee replacements compare between patients in Seattle and Portland?,allowed
Are depression screening scores higher for divorced women versus married women?,allowed
Compare the ICU admission rates for adults over sixty-five against young adults in their twenties.,allowed
Is the mortality rate for acute stroke different between Black and White patients?,allowed
Do widowed individuals show a higher frequency of sleep aid prescriptions than married people?,allowed
Compare the average birth weight of infants born to teenage mothers versus mothers in their thirties.,allowed
How do vaccination rates compare across different racial groups in the pediatric department?,allowed
Is there a variance in the median age of onset for Alzheimer's disease between men and women?,allowed
Compare the number of emergency visits for panic attacks between college-aged individuals and middle-aged adults.,allowed
Do transgender men require different average doses of testosterone compared to cisgender men treating hypogonadism?,allowed
Compare the rate of successful smoking cessation between married and single patients.,allowed
Is the average hospital bill higher for patients residing in urban centers versus rural towns?,allowed
How does the frequency of routine cancer screenings compare between Asian and Hispanic women?,allowed
Compare the rate of hospital-acquired infections among people over eighty versus those under fifty.,allowed
Do teenagers from Detroit present with higher rates of severe dental issues compared to those from Ann Arbor?,allowed
What is the difference in average pain scores reported by men and women following abdominal surgery?,allowed
Compare the prevalence of osteoporosis between white women and women of color over the age of sixty.,allowed
Are medication adherence rates lower among divorced individuals compared to single adults?,allowed
How do median fasting glucose levels compare between Pacific Islander patients and the general hospital population?,allowed
Compare the average length of psychiatric holds for transgender women versus cisgender women.,allowed
Is the rate of outpatient physical therapy completion different for patients living in Denver compared to Boulder?,allowed
Do married couples experience a lower rate of severe cardiovascular events than widowed people of the same age?,allowed
Compare the incidence of premature births between African American mothers and White mothers.,allowed
Are there differences in the median age at first heart attack between men and women?,allowed
How does the frequency of pediatric ear infections compare between children living in Springfield versus those in Shelbyville?,allowed
Compare the usage rates of telehealth services between seniors and young adults.,allowed
Is the rate of bariatric surgery complications higher for Hispanic individuals compared to non-Hispanic White individuals?,allowed
Do separated patients report higher levels of chronic pain than those who are legally married?,allowed
Compare the average A1c reduction for diabetic teenagers versus diabetic adults following nutritional counseling.,allowed
What is the difference in emergency room utilization between residents of the inner city versus the surrounding suburbs?,allowed
Compare the incidence of prostate cancer between Black men and men of other races.,allowed
Are prescription refill delays more common for patients living in rural counties compared to major cities?,allowed
How do the average sleep hours reported by single mothers compare to those reported by married mothers?,allowed
Compare the median time to diagnosis for autoimmune diseases in women versus men.,allowed
Is the rate of flu vaccination higher among Asian adults compared to the rest of the adult population?,allowed
Do non-binary teenagers experience higher rates of anxiety diagnoses than cisgender teenagers?,allowed
Compare the average number of prenatal visits for women in their early twenties versus women over thirty-five.,allowed
What is the difference in surgical recovery times for widowed seniors compared to married seniors?,allowed
Compare the incidence of pediatric asthma between children living in industrial cities versus coastal towns.,allowed
Are rates of hypertension control better among married men or single men?,allowed
Compare the average resting heart rate between athletes and sedentary individuals.,allowed
Is the median systolic blood pressure higher in patients with sleep apnea compared to those without it?,allowed
How does the mean body mass index differ between teenagers diagnosed with Type 2 diabetes and healthy teenagers?,allowed
Compare the peak oxygen saturation levels of asthmatic children versus children without respiratory issues.,allowed
Are baseline body temperatures significantly different between men and women presenting to the emergency room?,allowed
What is the difference in median waist-to-hip ratio between individuals with metabolic syndrome and healthy adults?,allowed
Compare the average respiratory rate of patients admitted with pneumonia against those admitted for non-respiratory infections.,allowed
Do smokers have a lower average pulse oximetry reading compared to non-smokers in the outpatient clinic?,allowed
Is the mean diastolic blood pressure lower in patients taking ACE inhibitors versus those taking beta-blockers?,allowed
How do the average birth weights of infants born to diabetic mothers compare to infants of non-diabetic mothers?,allowed
Compare the median body fat percentage of young adults who exercise regularly against those who do not.,allowed
Are height percentiles typically different between boys and girls at age twelve in our pediatric database?,allowed
What is the variance in resting pulse pressure between elderly patients and young adults?,allowed
Compare the average grip strength of post-stroke individuals completing physical therapy versus those just starting.,allowed
Do pregnant women in their third trimester have a higher average resting heart rate than women in their first trimester?,allowed
Is the median intraocular pressure higher in patients diagnosed with glaucoma compared to the general ophthalmology population?,allowed
How does the average oxygen saturation drop during a sleep study compare between obese and normal-weight individuals?,allowed
Compare the mean weight loss achieved by patients on a low-carb diet versus those on a low-fat diet.,allowed
Are resting respiratory rates higher in infants with congenital heart defects compared to healthy infants?,allowed
What is the difference in average bone mineral density T-scores between men and women over the age of sixty-five?,allowed
Compare the median systolic blood pressure readings of patients experiencing acute anxiety attacks versus those at baseline.,allowed
Do individuals with hyperthyroidism present with higher average body temperatures than patients with hypothyroidism?,allowed
Is the mean pulse rate higher in patients experiencing chronic pain compared to pain-free individuals?,allowed
How do the average heights of adult patients born prematurely compare to those born full-term?,allowed
Compare the median waist circumference of men suffering from cardiovascular disease against healthy men.,allowed
Are baseline oxygen saturation levels different for people living at high altitudes compared to those at sea level?,allowed
What is the average body mass index difference between patients undergoing bariatric surgery and those relying on medical weight management?,allowed
Compare the resting heart rates of teenagers diagnosed with ADHD taking stimulants versus those unmedicated.,allowed
Do patients with severe dehydration show a lower median weight upon admission compared to their baseline records?,allowed
Is the average diastolic blood pressure higher in women carrying twins versus women carrying a single fetus?,allowed
How does the mean cranial circumference of full-term newborns compare between male and female infants?,allowed
Compare the peak heart rates achieved during cardiac stress tests between patients with and without coronary artery disease.,allowed
Are oxygen saturation levels lower in individuals with chronic obstructive pulmonary disease compared to asthma patients?,allowed
What is the difference in average body fat percentage between premenopausal and postmenopausal women?,allowed
Compare the median pulse pressure of patients diagnosed with arterial stiffness against those with healthy arteries.,allowed
Do children with severe food allergies have a lower average body mass index than children without dietary restrictions?,allowed
Is the mean respiratory rate different between patients under general anesthesia versus conscious sedation?,allowed
How do the average weights of male patients diagnosed with eating disorders compare to the general male population?,allowed
Compare the resting heart rate of individuals who consume high amounts of caffeine daily versus those who do not.,allowed
Are systolic blood pressure readings generally higher in emergency room patients compared to those at a routine checkup?,allowed
What is the difference in median height between patients with Marfan syndrome and the rest of the adult registry?,allowed
Compare the average grip strength of men over eighty years old to men in their fifties.,allowed
Do patients with chronic kidney disease show a higher average body weight due to fluid retention compared to healthy controls?,allowed
Is the mean core body temperature lower in elderly patients presenting with sepsis compared to younger adults with sepsis?,allowed
How does the median pulse oximetry of heavy smokers compare to that of former smokers who quit ten years ago?,allowed
Compare the average waist-to-hip ratio of women diagnosed with polycystic ovary syndrome versus women without the condition.,allowed
Are resting respiratory rates significantly different between patients with severe anemia and those with normal hemoglobin levels?,allowed
What is the variance in average blood pressure between individuals working night shifts versus day shifts?,allowed
Compare the median heart rate variability of patients practicing daily meditation against a control group.,allowed
Do individuals diagnosed with clinical depression exhibit a different average body mass index than non-depressed individuals?,allowed
Do patients with a penicillin allergy have a higher rate of surgical site infections than those without the allergy?,allowed
Is the average length of stay longer for individuals treated with open-heart surgery versus those undergoing a transcatheter aortic valve replacement?,allowed
How does the readmission rate differ between asthmatics prescribed inhaled corticosteroids and those relying solely on rescue inhalers?,allowed
Are individuals diagnosed with Type 1 diabetes admitted to the ER more frequently than people with Type 2 diabetes?,allowed
What is the difference in median pain scores between patients receiving opioids and those given NSAIDs post-operation?,allowed
Contrast the 30-day mortality rate of stroke victims who received tPA with those who were outside the treatment window.,allowed
Look at whether patients allergic to latex experience more intraoperative complications than non-allergic individuals.,allowed
Determine if the average recovery time is shorter for patients managing osteoarthritis with physical therapy versus joint injection therapy.,allowed
Is there a noticeable variance in ICU admission rates between people with COPD and those with pulmonary fibrosis?,allowed
Do women taking SSRIs report a higher frequency of weight gain than women prescribed SNRIs?,allowed
How do the fasting glucose levels of individuals on Metformin contrast with those taking sulfonylureas?,allowed
Are severe anaphylactic reactions more common in children with peanut allergies compared to those with tree nut allergies?,allowed
Evaluate if patients receiving targeted biologic therapy for rheumatoid arthritis show lower inflammatory markers than those on standard methotrexate.,allowed
What is the difference in average hospital costs for treating community-acquired pneumonia versus hospital-acquired pneumonia?,allowed
See if the rate of medication non-compliance is higher among people prescribed daily pills versus those receiving monthly injections.,allowed
Is the median time to discharge different for individuals treated for generalized anxiety disorder compared to major depressive disorder?,allowed
Do patients with an iodine allergy face longer delays in receiving diagnostic imaging than patients without the allergy?,allowed
Contrast the frequency of emergency room visits for children diagnosed with eczema versus those with psoriasis.,allowed
How does the overall survival rate differ between oncology patients undergoing radiation alone and those receiving concurrent chemotherapy?,allowed
Are people with untreated sleep apnea at a higher risk for atrial fibrillation than those actively using a CPAP machine?,allowed
Determine if the rate of secondary infections is elevated in patients taking immunosuppressants compared to immunocompetent individuals.,allowed
What is the variance in average blood pressure reductions between patients on ACE inhibitors and those taking angiotensin II receptor blockers?,allowed
Look at whether individuals diagnosed with early-stage Alzheimer's require more frequent hospitalizations than those with vascular dementia.,allowed
Do pediatric patients with a dairy allergy show a lower median body mass index than children with no food allergies?,allowed
Is there a difference in the success rate of smoking cessation programs for people using nicotine patches versus oral medications?,allowed
Evaluate if the average length of psychiatric holds is longer for patients diagnosed with schizophrenia compared to bipolar disorder.,allowed
Contrast the post-operative nausea rates between individuals who received prophylactic antiemetics and those who did not.,allowed
How do the readmission rates for heart failure patients managed by a specialized cardiology clinic stack up against those seen by general practitioners?,allowed
Are adults prescribed continuous glucose monitors better at maintaining target A1c levels than those using traditional fingerstick testing?,allowed
What is the difference in complication rates for bariatric patients undergoing gastric bypass versus a sleeve gastrectomy?,allowed
See if people with a known sulfa drug allergy have a higher incidence of urinary tract infection recurrences than non-allergic individuals.,allowed
Do individuals receiving dialysis at home report higher patient satisfaction scores than those attending an in-center clinic?,allowed
Is the median recovery period shorter for patients treating a torn meniscus with physical therapy rather than arthroscopic surgery?,allowed
Contrast the frequency of adverse drug events in elderly patients taking more than five medications against those taking fewer.,allowed
How does the average dosage of pain medication required differ between patients with a history of substance abuse and those without?,allowed
Are emergency department wait times generally longer for patients presenting with psychiatric diagnoses compared to physical traumas?,allowed
Determine if the rate of deep vein thrombosis is lower in surgical patients receiving prophylactic blood thinners versus mechanical compression alone.,allowed
What is the variance in treatment adherence between teenagers diagnosed with ADHD taking long-acting stimulants versus short-acting ones?,allowed
Look at whether people with a severe egg allergy have lower influenza vaccination rates than the general hospital population.,allowed
Do patients undergoing robotic-assisted prostatectomies experience less average blood loss than those having traditional open surgery?,allowed
Is there a significant difference in baseline cholesterol levels between individuals diagnosed with hypothyroidism versus hyperthyroidism?,allowed
Evaluate if the 30-day readmission rate is higher for patients discharged with a new insulin regimen compared to those continuing an existing one.,allowed
Contrast the median length of labor for women induced with Pitocin against those who experience spontaneous labor.,allowed
How do the complication rates differ for individuals treating their Crohn's disease with corticosteroids versus immunomodulators?,allowed
Are patients with a documented allergy to contrast media more likely to receive an MRI instead of a CT scan compared to non-allergic patients?,allowed
What is the difference in average bone density scores between women taking calcium supplements and those prescribed bisphosphonates?,allowed
See if the incidence of hospital-acquired pneumonia is higher in mechanically ventilated patients than in those on non-invasive positive pressure ventilation.,allowed
Do individuals diagnosed with chronic migraines report fewer emergency room visits after starting Botox injections compared to oral preventatives?,allowed
Is the median time to viral suppression faster for HIV patients on a single-tablet regimen versus a multi-pill combination?,allowed
Contrast the rate of surgical site infections between patients who received preoperative antibiotics and those who missed the prophylactic window.,allowed
How has the rate of hospital-acquired infections trended over the last decade?,allowed
Show me the month-over-month change in emergency room admissions for the year 2025.,allowed
Are there noticeable seasonal spikes in asthma exacerbations among children during the fall?,allowed
Compare the 30-day readmission rate for heart failure patients before and after the new discharge protocol was implemented.,allowed
What is the year-over-year growth in telehealth appointments since 2020?,allowed
Analyze the trend of average wait times in the ER over the past six months.,allowed
Did the incidence of flu-related hospitalizations decrease following the recent vaccination campaign?,allowed
Chart the quarterly volume of elective surgeries performed over the last three years.,allowed
Is there a historical trend showing longer ICU stays during the winter months compared to the summer?,allowed
Evaluate the change in patient satisfaction scores pre and post the facility renovation in 2001.,allowed
How have the average birth weights of newborns changed over the past twenty years?,allowed
Map out the monthly trend of opioid prescriptions dispensed by the outpatient pharmacy in 1935.,allowed
Determine if there was a drop in medication errors after the new electronic health record system went live.,allowed
Show the annual incidence rate of Type 2 diabetes diagnoses in teenagers from 2015 to 2025.,allowed
Has the average duration of mechanical ventilation for ARDS patients decreased over the last five years?,allowed
Compare mortality rates in the oncology ward before and after the introduction of the new immunotherapy guidelines.,allowed
What does the five-year trend look like for the average age of patients undergoing knee replacements?,allowed
Track the seasonal variation in pediatric admissions for respiratory syncytial virus.,allowed
Did the implementation of the rapid triage system reduce the door-to-doctor time compared to the previous year?,allowed
Analyze the year-over-year decline in smoking rates among adult patients in our cardiovascular clinic.,allowed
How has the proportion of cesarean sections versus vaginal deliveries shifted since 2010?,allowed
Plot the weekly trend of positive influenza tests during the winter surge of 1995.,allowed
Evaluate whether the average cost per patient stay has increased or decreased over the last five fiscal years.,allowed
Show the trend in the number of individuals seeking mental health services each quarter since 2020.,allowed
Compare the frequency of surgical site infections in the six months prior to the new sterilization protocol versus the six months after.,allowed
Has the median length of stay for stroke victims improved over the last decade?,allowed
Track the monthly volume of mammograms performed to see if there is a spike during breast cancer awareness month.,allowed
Did the rate of central line-associated bloodstream infections change after the mandatory nursing training last spring?,allowed
What is the historical trend of antibiotic resistance observed in urine cultures over the past eight years?,allowed
Analyze the seasonal patterns of heat-related illnesses presenting to the emergency department between May and September over a five-year period.,allowed
How have the survival rates for stage III lung cancer evolved year by year since 2018?,allowed
Map the trend of bariatric surgeries performed monthly over the last two years.,allowed
Assess the impact of the new fall prevention program by comparing patient fall rates from last year to this year.,allowed
What is the trajectory of the average A1c levels for our diabetic population over the preceding thirty-six months?,allowed
Track the year-over-year change in the number of pediatric patients diagnosed with autism spectrum disorder.,allowed
Has there been a noticeable shift in the demographics of patients admitted for substance abuse over the last decade?,allowed
Compare the median time from ER arrival to cath lab for heart attack patients before and after the specialized cardiac team was formed.,allowed
Evaluate the seasonal fluctuations in admissions for seasonal affective disorder.,allowed
Show the annual trend of outpatient physical therapy sessions completed versus canceled from 2021 to 1990.,allowed
Did the introduction of the new sepsis alert algorithm reduce the average time to first antibiotic dose compared to the prior year?,allowed
How has the percentage of patients utilizing the online portal changed month-over-month since its launch?,allowed
Analyze the five-year trend of maternal mortality rates within the obstetrics department.,allowed
Track the weekly admission rates for pneumonia during the peak of the 2019 respiratory virus season.,allowed
Has the average cost of prescription drugs for seniors in our network increased significantly year over year?,allowed
Compare the incidence of deep vein thrombosis in surgical patients pre and post the adoption of universal pneumatic compression.,allowed
What does the historical data show regarding the frequency of pediatric concussions during the autumn sports season?,allowed
Map the yearly growth in the number of individuals identifying as non-binary in our patient registry since 2015.,allowed
Did the average patient wait time for specialist referrals decrease following the hiring expansion in 2036?,allowed
Show the trend of blood transfusion volumes required in the trauma center over the past four quarters.,allowed
Analyze how the diagnosis rates for early-onset dementia have trended over the last fifteen years.,allowed
How has the overall incidence of Type 2 diabetes diagnoses shifted throughout the 2010s?,allowed
Track the year-over-year growth in telehealth utilization from 2018 through the pandemic years.,allowed
Did the average length of stay for joint replacements decrease steadily during the 2000s?,allowed
Chart the ten-year trend of opioid prescriptions dispensed by our outpatient pharmacy leading up to 2020.,allowed
What was the trajectory of maternal mortality rates across the hospital system during the 1990s?,allowed
Show me the annual decline in smoking rates among adult patients between 2005 and 2015.,allowed
Analyze the decade-over-decade change in the median age of onset for Parkinson's disease.,allowed
How did the volume of elective orthopedic surgeries recover in the post-pandemic period of 2022 to 2024?,allowed
Evaluate the yearly trend in emergency room wait times over the last quarter-century.,allowed
Has the average body mass index of our pediatric patients increased since the early 2000s?,allowed
Chart the seasonal spikes in emergency department visits for asthma exacerbations during the fall.,allowed
What is the historical pattern of heatstroke admissions during the summer months over the last five years?,allowed
Analyze the winter surge in respiratory syncytial virus cases among infants.,allowed
Did the frequency of seasonal affective disorder diagnoses peak in January or February last year?,allowed
Show the spring allergy season's impact on outpatient prescriptions for antihistamines.,allowed
How does the volume of frostbite treatments fluctuate during the winter months?,allowed
Track the seasonal variation in pediatric bone fractures corresponding to summer vacation.,allowed
Evaluate the autumn increase in flu vaccination rates across our primary care network.,allowed
What does the data show regarding norovirus outbreaks in the hospital during the winter?,allowed
Analyze the summer trend of dehydration admissions in our geriatric department.,allowed
Show the month-over-month change in the number of screening mammograms performed this year.,allowed
How do emergency room admissions for alcohol poisoning trend on weekends compared to weekdays?,allowed
Track the weekly volume of scheduled cesarean sections versus spontaneous deliveries.,allowed
Did the monthly rate of deep vein thrombosis diagnoses rise during the peak holiday travel season?,allowed
Chart the weekly distribution of missed physical therapy appointments.,allowed
Evaluate the month-to-month variation in blood bank supplies across the entire facility.,allowed
How does the average wait time in urgent care fluctuate throughout the days of the week?,allowed
Analyze the monthly trend of positive strep throat tests during the school year.,allowed
Show the week-by-week increase in positive influenza swabs leading up to the peak season.,allowed
What is the monthly pattern of prescription refill requests for cardiovascular medications?,allowed
Did the rate of central line-associated bloodstream infections drop after the 2018 nursing training?,allowed
Evaluate the average time to first antibiotic dose before and after implementing the sepsis alert algorithm.,allowed
How did the 30-day readmission rate for COPD change following the launch of the remote monitoring program?,allowed
Assess patient fall rates pre and post the installation of automated bed exit alarms.,allowed
Did the prophylactic use of the new antiemetic drug lower post-operative nausea rates?,allowed
Chart the medication error rate before and after the transition to the new electronic health record system.,allowed
How did the median time to extubation improve after the anesthesia department updated its waking protocols?,allowed
Evaluate the change in surgical site infections following the introduction of UV room sterilization.,allowed
Did the implementation of continuous glucose monitors reduce hypoglycemia-related ER visits?,allowed
Analyze the door-to-needle time for ischemic stroke patients before and after forming a dedicated stroke team.,allowed
How did the hospital-acquired pneumonia rate change post-adoption of the new oral care bundle?,allowed
Assess the average pain scores of joint replacement patients before and after the shift to opioid-sparing protocols.,allowed
Did the new maternal hemorrhage protocol decrease the rate of emergency hysterectomies?,allowed
Evaluate the pre- and post-intervention A1c levels for individuals who completed the intensive diabetes education program.,allowed
How did the average length of stay for appendectomies change after the shift to a purely laparoscopic approach?,allowed
Track the year-over-year increase in the number of patients requesting a medical translator since 2015.,allowed
Analyze the historical trend of antibiotic resistance observed in urine cultures over the past eight years.,allowed
How has the median duration of oxygen therapy for severe respiratory distress changed since 2017?,allowed
Show the annual trend of outpatient mental health therapy sessions completed from 2018 to 2023.,allowed
Evaluate the decade-long shift in the most common blood types requiring emergency transfusions.,allowed
Was there an increase in COVID-19 vaccine uptake following the introduction of the mobile vaccination unit in 2021?,allowed
How did emergency room wait times for pediatric versus adult patients trend throughout the 1990s?,allowed
Did the pandemic years see a steeper rise in anxiety diagnoses for teenagers or middle-aged adults?,allowed
Contrast the decade-over-decade decline in smoking rates between men and women since the 1980s.,allowed
Has the average length of stay for hip replacements dropped faster for seniors or young adults from 2005 to 2015?,allowed
Evaluate the year-over-year readmission rates for heart failure versus COPD patients during the early 2000s.,allowed
Track the seasonal spikes in RSV admissions between urban and rural children during the 2018-2019 winter.,allowed
Did the 30-day mortality rate for stroke victims improve more for Hispanic or White patients over the last two decades?,allowed
How does the pre-pandemic trend in telehealth usage compare between millennials and baby boomers?,allowed
Chart the difference in C-section rates for first-time mothers versus multiparous women throughout the 2010s.,allowed
Has the adoption of CPAP machines grown faster among men or women since the turn of the century?,allowed
Compare the monthly ICU admission rates for vaccinated versus unvaccinated pneumonia patients during 2021 and 2022.,allowed
Did medication adherence for diabetics drop more sharply in rural or urban clinics during the COVID-19 lockdowns?,allowed
Analyze the shift in average birth weights for teenage mothers compared to mothers in their thirties from 1995 to 2005.,allowed
How did the frequency of elective surgeries bounce back for orthopedic versus cardiac departments post-2020?,allowed
Look at whether the incidence of melanoma increased faster in coastal or inland residents during the 2000s.,allowed
Assess the year-over-year growth in bariatric surgeries for men versus women between 2012 and 2018.,allowed
Did the introduction of the new 2014 protocol lower surgical site infections more in general surgery or obstetrics?,allowed
Contrast the quarterly trends of opioid prescriptions for acute pain versus chronic pain throughout the 2010s.,allowed
How has the median age of onset for Alzheimer's changed for men compared to women over the last quarter-century?,allowed
Track the difference in asthma exacerbation rates between inner-city and suburban children from 2001 to 2010.,allowed
Did the five-year survival rate for stage III breast cancer improve more than ovarian cancer during the 1990s?,allowed
Evaluate whether fall rates in the geriatric ward decreased more for men or women after the 2016 safety initiative.,allowed
How did the monthly volume of mammograms compare between insured and uninsured women during the 2008 recession?,allowed
Chart the year-over-year change in outpatient physical therapy completion for ACL tears versus rotator cuff injuries pre-2020.,allowed
Has the cost of insulin risen faster for Type 1 or Type 2 diabetics over the past fifteen years?,allowed
Contrast the flu vaccination rates between Asian and Black populations during the 2017-2018 season.,allowed
Did the shift to electronic health records in 2012 reduce medication errors more in the ER or the pharmacy?,allowed
Analyze the historical trend of pediatric obesity rates in boys versus girls throughout the 2000s.,allowed
How did the average recovery time for laparoscopic versus open appendectomies trend between 2005 and 2015?,allowed
Track the seasonal drop in blood donations between college students and older adults during the summers of the 2010s.,allowed
Evaluate the pre- and post-Affordable Care Act trends in primary care visits for single versus married adults.,allowed
Did the pandemic years cause a higher spike in domestic violence injuries for women compared to men?,allowed
How has the mortality rate for acute myocardial infarction trended for diabetic versus non-diabetic patients since 2000?,allowed
Chart the year-over-year frequency of peanut allergy admissions for toddlers versus school-aged children from 2010 to 2019.,allowed
Has the median duration of mechanical ventilation for ARDS shortened more for adults under 50 or over 50 since 2015?,allowed
Contrast the annual rate of smoking cessation success between patients using patches versus oral medications in the late 1990s.,allowed
Did the incidence of hospital-acquired pneumonia drop faster in the ICU or the general wards between 2008 and 2013?,allowed
Analyze the month-over-month trend of positive strep tests in elementary versus middle schoolers during the winter of 2019.,allowed
How did the average hospital bill for maternity care compare between private and public hospitals throughout the 2000s?,allowed
Track the ten-year trend in joint replacement complications for diabetic versus healthy patients leading up to 2020.,allowed
Evaluate whether the readmission rate for COPD exacerbations improved more for men or women post-2016.,allowed
Did the 2009 H1N1 pandemic result in higher pediatric or adult ICU admission rates compared to seasonal flu?,allowed
How has the rate of successful first-attempt intubations trended for ER physicians versus anesthesiologists over the last decade?,allowed
Chart the yearly growth in psychiatric admissions for eating disorders in teenage girls versus boys from 2005 to 2015.,allowed
Has the average A1c reduction over six months improved more for patients on insulin pumps or daily injections since 2010?,allowed
Contrast the seasonal variations in seasonal affective disorder diagnoses between northern and southern clinics during the 2010s.,allowed
Did the 2018 staffing expansion lower patient wait times more for morning or night shift ER arrivals?,allowed
Analyze the decade-long trend in bariatric surgery preference shifting from gastric bypass to sleeve gastrectomy in men versus women.,allowed
How did the survival rate for melanoma trend for patients diagnosed at stage I versus stage II throughout the 1990s?,allowed
Track the annual change in telehealth adoption rates for psychiatric versus dermatological consults between 2015 and 2021.,allowed
Does smoking increase the risk of asthma attacks for children treated in our ER?,allowed
What is the odds ratio of falling for elderly patients taking sleep aids at this facility?,allowed
Is obesity associated with a higher chance of knee surgery complications here?,allowed
Calculate the relative risk of a second heart attack for individuals skipping our rehab program.,allowed
Does a history of high blood pressure increase the probability of a stroke among our patients?,allowed
Are women with a family history of breast cancer at higher risk for positive biopsies in our clinic?,allowed
How strongly is a high BMI linked to diabetes diagnoses in the primary care wing?,allowed
Is taking daily aspirin associated with a higher risk of stomach bleeding for older patients?,allowed
Does severe dehydration increase the likelihood of kidney injury for people admitted to the ICU?,allowed
Determine the odds ratio of readmission for heart failure patients who live alone.,allowed
Are teenagers using electronic cigarettes at a higher risk for chronic coughs in our pediatric unit?,allowed
Does untreated sleep apnea increase the probability of heart arrhythmias for men treated here?,allowed
Is a known peanut allergy linked to a higher risk of asthma in our patient database?,allowed
What is the relative risk of joint infections for individuals with rheumatoid arthritis at our hospital?,allowed
Does poor blood sugar control increase the odds of wound infections after surgery?,allowed
Are patients taking blood thinners at a higher risk for severe bleeding during emergency procedures?,allowed
How does a history of concussions affect the risk of memory loss for patients in our neurology ward?,allowed
Is maternal smoking associated with lower birth weights in the maternity ward?,allowed
Does having a previous C-section increase the risk of complications for women delivering here?,allowed
Calculate the odds ratio of a severe allergic reaction for patients with a known latex sensitivity.,allowed
Are individuals who sit all day at a higher risk for blood clots when admitted to our trauma center?,allowed
Does regular exercise lower the probability of bone fractures for older women in our system?,allowed
Is heavy alcohol use linked to a greater chance of liver disease readmissions at this facility?,allowed
What is the relative risk of lung cancer for people exposed to asbestos in our respiratory clinic?,allowed
Does a low birth weight increase a child's risk of developmental delays in our pediatric center?,allowed
Are patients on long-term steroids at a higher risk of developing weak bones here?,allowed
How does daily fast food consumption affect the odds of obesity for teenagers in our network?,allowed
Is there an association between high stress and frequent migraine visits in the urgent care?,allowed
Does failing to get a flu shot increase the risk of pneumonia hospitalizations for our seniors?,allowed
Determine the relative risk of kidney stones for men who do not drink enough water.,allowed
Are children who use formula exclusively at a higher risk of eczema than breastfed infants here?,allowed
Does a history of depression increase the likelihood of chronic pain for patients in our clinic?,allowed
What is the odds ratio of a surgical site infection for individuals with untreated diabetes?,allowed
Is prolonged bed rest associated with a higher risk of bedsores for patients in our stroke unit?,allowed
Does skipping regular dental cleanings increase the probability of heart disease for our patients?,allowed
Are women diagnosed with polycystic ovary syndrome at a greater risk of needing infertility treatments here?,allowed
How strongly does high cholesterol predict future heart attacks for men in our cardiology center?,allowed
Is regular use of painkillers associated with a higher risk of kidney damage among the patient population?,allowed
Does a family history of colon cancer increase the odds of finding polyps during screenings here?,allowed
Calculate the relative risk of readmission for patients who leave the hospital against medical advice.,allowed
Are individuals with a history of substance abuse at higher risk for ER visits related to physical trauma?,allowed
Does chronic lack of sleep increase the likelihood of anxiety diagnoses for teenagers in our system?,allowed
What is the association between living in a polluted city and asthma rates in our pediatric ward?,allowed
Is a sedentary lifestyle linked to an increased risk of Type 2 diabetes for our adult patients?,allowed
Does a history of severe childhood sunburns elevate the risk of skin cancer for people in the dermatology clinic?,allowed
Are patients who use a CPAP machine every night at a lower risk for daytime fatigue-related accidents?,allowed
How does taking birth control pills alter the odds of blood clots for women treated at this facility?,allowed
Is Vitamin D deficiency associated with a higher risk of catching the flu for our general population?,allowed
Does participating in our physical therapy program lower the probability of needing a second back surgery?,allowed
Determine the odds ratio of postpartum depression for new mothers lacking a support system in our hospital.,allowed
Does a history of smoking increase the risk of poor wound healing for patients at the clinic?,allowed
What is the odds ratio of kidney failure for individuals with untreated high blood pressure admitted here?,allowed
Is a family history of colon cancer associated with a higher likelihood of malignant polyps found at the hospital?,allowed
Calculate the relative risk of blood clots for bedridden patients in the recovery ward.,allowed
Does poor blood sugar control increase the probability of nerve damage for patients treated in the endocrinology wing?,allowed
Are individuals who consume heavy amounts of alcohol at a higher risk for liver cirrhosis diagnoses here?,allowed
What is the association between severe obesity and the development of sleep apnea in the patient registry?,allowed
Is living near industrial zones linked to a greater chance of asthma attacks for children treated at the hospital?,allowed
Determine the odds ratio of stomach ulcers for older adults taking daily pain relievers at this facility.,allowed
Does a history of multiple concussions elevate the risk of chronic migraines for patients in the neurology department?,allowed
Are people on long-term steroid therapy at a higher risk of bone fractures when treated at the clinic?,allowed
